
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
0.118704 0.948662 2.5 
0.119231 0.947849 2.5 
0.125811 0.938294 2.5 
0.129599 0.932498 2.5 
0.132764 0.927926 2.5 
0.139619 0.917559 2.5 
0.139967 0.917023 2.5 
0.146726 0.907191 2.5 
0.150334 0.901674 2.5 
0.153687 0.896823 2.5 
0.160529 0.886455 2.5 
0.160702 0.886188 2.5 
0.167637 0.876087 2.5 
0.17107 0.870841 2.5 
0.175652 0.865719 2.5 
0.181433 0.855351 2.5 
0.190658 0.844983 2.5 
0.191806 0.842904 2.5 

# Contour 5, label: 
-0.65868 0.160702 2.5 
-0.658361 0.161162 2.5 
-0.655387 0.17107 2.5 
-0.647993 0.179618 2.5 
-0.646436 0.181438 2.5 
-0.637625 0.191643 2.5 
-0.637486 0.191806 2.5 
-0.634347 0.202174 2.5 
-0.627258 0.210378 2.5 
-0.625408 0.212542 2.5 
-0.61689 0.222418 2.5 
-0.61647 0.22291 2.5 
-0.613302 0.233278 2.5 
-0.606522 0.24113 2.5 
-0.604375 0.243645 2.5 
-0.596154 0.253186 2.5 
-0.595449 0.254013 2.5 
-0.587461 0.264381 2.5 
-0.585786 0.266795 2.5 
-0.583337 0.274749 2.5 
-0.575418 0.283947 2.5 
-0.574423 0.285117 2.5 
-0.566086 0.295485 2.5 
-0.56505 0.296976 2.5 
-0.562293 0.305853 2.5 
-0.554682 0.314702 2.5 
-0.553392 0.316221 2.5 
-0.54471 0.326589 2.5 
-0.544314 0.327158 2.5 
-0.541244 0.336957 2.5 
-0.533947 0.34545 2.5 
-0.532356 0.347324 2.5 
-0.523579 0.357562 2.5 
-0.523468 0.357692 2.5 
-0.52019 0.36806 2.5 
-0.513211 0.37619 2.5 
-0.511315 0.378428 2.5 
-0.502843 0.388319 2.5 
-0.50244 0.388796 2.5 
-0.49913 0.399164 2.5 
-0.492475 0.406923 2.5 
-0.490268 0.409532 2.5 
-0.482107 0.419069 2.5 
-0.481406 0.4199 2.5 
-0.478064 0.430268 2.5 
-0.471739 0.437649 2.5 
-0.469216 0.440635 2.5 
-0.461371 0.449812 2.5 
-0.460367 0.451003 2.5 
-0.452118 0.461371 2.5 
-0.451003 0.462973 2.5 
-0.448158 0.471739 2.5 
-0.440635 0.480547 2.5 
-0.439323 0.482107 2.5 
-0.430499 0.492475 2.5 
-0.430268 0.493154 2.5 
-0.427094 0.502843 2.5 
-0.4199 0.511275 2.5 
-0.418274 0.513211 2.5 
-0.409532 0.523484 2.5 
-0.409452 0.523579 2.5 
-0.406024 0.533947 2.5 
-0.399164 0.541994 2.5 
-0.397218 0.544314 2.5 
-0.388796 0.554222 2.5 
-0.388411 0.554682 2.5 
-0.384947 0.56505 2.5 
-0.378428 0.572706 2.5 
-0.376157 0.575418 2.5 
-0.36806 0.584952 2.5 
-0.367364 0.585786 2.5 
-0.361848 0.596154 2.5 
-0.357692 0.603408 2.5 
-0.355089 0.606522 2.5 
-0.347324 0.615675 2.5 
-0.346312 0.61689 2.5 
-0.337563 0.627258 2.5 
-0.336957 0.628969 2.5 
-0.334015 0.637625 2.5 
-0.326589 0.646388 2.5 
-0.325253 0.647993 2.5 
-0.316503 0.658361 2.5 
-0.316221 0.65915 2.5 
-0.312935 0.668729 2.5 
-0.305853 0.677093 2.5 
-0.304189 0.679097 2.5 
-0.295485 0.68941 2.5 
-0.295455 0.689465 2.5 
-0.289701 0.699833 2.5 
-0.285117 0.707789 2.5 
-0.283118 0.710201 2.5 
-0.274749 0.720127 2.5 
-0.274506 0.720569 2.5 
-0.268736 0.730936 2.5 
-0.264381 0.738476 2.5 
-0.262041 0.741304 2.5 
-0.254013 0.750835 2.5 
-0.253553 0.751672 2.5 
-0.247765 0.76204 2.5 

# Contour 6, label: 
-1.07308 -0.441175 2.5 
-1.0726 -0.440635 2.5 
-1.06471 -0.430268 2.5 
-1.06271 -0.427371 2.5 
-1.06076 -0.4199 2.5 
-1.05234 -0.41035 2.5 
-1.05162 -0.409532 2.5 
-1.04334 -0.399164 2.5 
-1.04197 -0.39719 2.5 
-1.03977 -0.388796 2.5 
-1.03161 -0.37953 2.5 
-1.03064 -0.378428 2.5 
-1.02197 -0.36806 2.5 
-1.02124 -0.367008 2.5 
-1.01878 -0.357692 2.5 
-1.01087 -0.348714 2.5 
-1.00965 -0.347324 2.5 
-1.00059 -0.336957 2.5 
-1.0005 -0.336827 2.5 
-0.997776 -0.326589 2.5 
-0.990134 -0.317904 2.5 
-0.988664 -0.316221 2.5 
-0.979766 -0.306095 2.5 
-0.979554 -0.305853 2.5 
-0.976772 -0.295485 2.5 
-0.969398 -0.287098 2.5 
-0.967669 -0.285117 2.5 
-0.95903 -0.275278 2.5 
-0.958569 -0.274749 2.5 
-0.950742 -0.264381 2.5 
-0.948662 -0.261375 2.5 
-0.946671 -0.254013 2.5 
-0.938294 -0.244466 2.5 
-0.93758 -0.243645 2.5 
-0.929369 -0.233278 2.5 
-0.927926 -0.231193 2.5 
-0.925669 -0.22291 2.5 
-0.917559 -0.213658 2.5 
-0.916587 -0.212542 2.5 
-0.907995 -0.202174 2.5 
-0.907191 -0.201012 2.5 
-0.904663 -0.191806 2.5 
-0.896823 -0.182856 2.5 
-0.895591 -0.181438 2.5 
-0.886621 -0.17107 2.5 
-0.886455 -0.170831 2.5 
-0.883652 -0.160702 2.5 
-0.876087 -0.152059 2.5 
-0.87459 -0.150334 2.5 
-0.865719 -0.140185 2.5 
-0.86553 -0.139967 2.5 
-0.862638 -0.129599 2.5 
-0.855351 -0.121267 2.5 
-0.853585 -0.119231 2.5 
-0.844983 -0.109381 2.5 
-0.844535 -0.108863 2.5 
-0.836772 -0.098495 2.5 
-0.834615 -0.0953785 2.5 
-0.832576 -0.0881271 2.5 
-0.824247 -0.0785818 2.5 
-0.823536 -0.0777592 2.5 
-0.815399 -0.0673913 2.5 
-0.81388 -0.0651972 2.5 
-0.811563 -0.0570234 2.5 
-0.803512 -0.0477883 2.5 
-0.802533 -0.0466555 2.5 
-0.794025 -0.0362876 2.5 
-0.793144 -0.0350159 2.5 
-0.790545 -0.0259197 2.5 
-0.782776 -0.0170003 2.5 
-0.781526 -0.0155518 2.5 
-0.77265 -0.00518395 2.5 
-0.772408 -0.0048346 2.5 
-0.769523 0.00518395 2.5 
-0.76204 0.013782 2.5 
-0.760514 0.0155518 2.5 
-0.751672 0.0257277 2.5 
-0.751507 0.0259197 2.5 
-0.748496 0.0362876 2.5 
-0.741304 0.0445584 2.5 
-0.739498 0.0466555 2.5 
-0.730936 0.0565178 2.5 
-0.730502 0.0570234 2.5 
-0.727465 0.0673913 2.5 
-0.720569 0.0753288 2.5 
-0.718478 0.0777592 2.5 
-0.710201 0.087302 2.5 
-0.709492 0.0881271 2.5 
-0.70143 0.098495 2.5 
-0.699833 0.100799 2.5 
-0.697452 0.108863 2.5 
-0.689465 0.11808 2.5 
-0.688478 0.119231 2.5 
-0.680056 0.129599 2.5 
-0.679097 0.13098 2.5 
-0.676422 0.139967 2.5 
-0.668729 0.148852 2.5 
-0.667459 0.150334 2.5 
-0.65868 0.160702 2.5 

# Contour 7, label: 
-1.49816 -1.06117 2.5 
-1.49614 -1.05234 2.5 
-1.48779 -1.04303 2.5 
-1.48685 -1.04197 2.5 
-1.47785 -1.03161 2.5 
-1.47742 -1.03099 2.5 
-1.47518 -1.02124 2.5 
-1.46706 -1.01217 2.5 
-1.4659 -1.01087 2.5 
-1.45669 -1.00058 2.5 
-1.45662 -1.0005 2.5 
-1.44936 -0.990134 2.5 
-1.44632 -0.985722 2.5 
-1.44494 -0.979766 2.5 
-1.43595 -0.969719 2.5 
-1.43567 -0.969398 2.5 
-1.42799 -0.95903 2.5 
-1.42559 -0.955541 2.5 
-1.42398 -0.948662 2.5 
-1.41522 -0.938859 2.5 
-1.41471 -0.938294 2.5 
-1.40662 -0.927926 2.5 
-1.40485 -0.92536 2.5 
-1.40302 -0.917559 2.5 
-1.39448 -0.908003 2.5 
-1.39376 -0.907191 2.5 
-1.38525 -0.896823 2.5 
-1.38411 -0.895178 2.5 
-1.38205 -0.886455 2.5 
-1.37375 -0.877151 2.5 
-1.3728 -0.876087 2.5 
-1.36388 -0.865719 2.5 
-1.36338 -0.864997 2.5 
-1.36109 -0.855351 2.5 
-1.35301 -0.846302 2.5 
-1.35184 -0.844983 2.5 
-1.34264 -0.834669 2.5 
-1.34259 -0.834615 2.5 
-1.33539 -0.824247 2.5 
-1.33227 -0.819726 2.5 
-1.33087 -0.81388 2.5 
-1.32191 -0.803815 2.5 
-1.32164 -0.803512 2.5 
-1.31402 -0.793144 2.5 
-1.31154 -0.789545 2.5 
-1.30991 -0.782776 2.5 
-1.30117 -0.772965 2.5 
-1.30068 -0.772408 2.5 
-1.29265 -0.76204 2.5 
-1.2908 -0.759363 2.5 
-1.28894 -0.751672 2.5 
-1.28043 -0.742119 2.5 
-1.27971 -0.741304 2.5 
-1.27128 -0.730936 2.5 
-1.27007 -0.729182 2.5 
-1.26796 -0.720569 2.5 
-1.2597 -0.711276 2.5 
-1.25875 -0.710201 2.5 
-1.24991 -0.699833 2.5 
-1.24933 -0.699001 2.5 
-1.24699 -0.689465 2.5 
-1.23896 -0.680438 2.5 
-1.23778 -0.679097 2.5 
-1.2286 -0.668754 2.5 
-1.22601 -0.658361 2.5 
-1.21823 -0.649603 2.5 
-1.21681 -0.647993 2.5 
-1.20786 -0.63791 2.5 
-1.20761 -0.637625 2.5 
-1.20005 -0.627258 2.5 
-1.19749 -0.623548 2.5 
-1.19583 -0.61689 2.5 
-1.18712 -0.60707 2.5 
-1.18664 -0.606522 2.5 
-1.17868 -0.596154 2.5 
-1.17676 -0.593367 2.5 
-1.17485 -0.585786 2.5 
-1.16639 -0.576234 2.5 
-1.16567 -0.575418 2.5 
-1.15731 -0.56505 2.5 
-1.15602 -0.563186 2.5 
-1.15387 -0.554682 2.5 
-1.14565 -0.545402 2.5 
