
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
0.264381 0.656157 2 
0.265593 0.647993 2 
0.267116 0.637625 2 
0.268622 0.627258 2 
0.270111 0.61689 2 
0.271584 0.606522 2 

# Contour 4, label: 
-0.525742 -1.16639 2 
-0.527242 -1.17676 2 
-0.528733 -1.18712 2 
-0.530216 -1.19749 2 
-0.53169 -1.20786 2 
-0.533156 -1.21823 2 
-0.533947 -1.22384 2 
-0.534641 -1.2286 2 
-0.536149 -1.23896 2 
-0.537648 -1.24933 2 
-0.539139 -1.2597 2 
-0.540621 -1.27007 2 
-0.542096 -1.28043 2 
-0.543562 -1.2908 2 
-0.544314 -1.29615 2 
-0.545048 -1.30117 2 
-0.546555 -1.31154 2 
-0.548053 -1.32191 2 
-0.549544 -1.33227 2 
-0.551026 -1.34264 2 
-0.552501 -1.35301 2 
-0.553967 -1.36338 2 
-0.554682 -1.36845 2 
-0.555454 -1.37375 2 
-0.556961 -1.38411 2 
-0.558459 -1.39448 2 
-0.559949 -1.40485 2 
-0.561432 -1.41522 2 
-0.562906 -1.42559 2 
-0.564373 -1.43595 2 
-0.56505 -1.44076 2 
-0.565861 -1.44632 2 
-0.567367 -1.45669 2 
-0.568865 -1.46706 2 
-0.570355 -1.47742 2 
-0.571837 -1.48779 2 
-0.573311 -1.49816 2 

# Contour 5, label: 
-0.399164 -0.283841 2 
-0.399352 -0.285117 2 
-0.40087 -0.295485 2 
-0.402377 -0.305853 2 
-0.403873 -0.316221 2 
-0.405358 -0.326589 2 
-0.406832 -0.336957 2 
-0.408295 -0.347324 2 
-0.409532 -0.356149 2 
-0.409759 -0.357692 2 
-0.411276 -0.36806 2 
-0.412782 -0.378428 2 
-0.414278 -0.388796 2 
-0.415762 -0.399164 2 
-0.417236 -0.409532 2 
-0.4187 -0.4199 2 
-0.4199 -0.428456 2 
-0.420166 -0.430268 2 
