
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_Rc%2.2f.dat', Rc) u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
-0.324995 0.17107 2.5 
-0.326589 0.168155 2.5 
-0.330739 0.160702 2.5 
-0.336448 0.150334 2.5 
-0.336957 0.149402 2.5 
-0.342203 0.139967 2.5 
-0.347324 0.130648 2.5 
-0.347911 0.129599 2.5 
-0.353664 0.119231 2.5 
-0.357692 0.111891 2.5 
-0.359384 0.108863 2.5 
-0.365123 0.098495 2.5 
-0.36806 0.0931363 2.5 
-0.370854 0.0881271 2.5 
-0.37658 0.0777592 2.5 
-0.378428 0.0743823 2.5 
-0.382321 0.0673913 2.5 
-0.388034 0.0570234 2.5 
-0.388796 0.0556296 2.5 
-0.393785 0.0466555 2.5 
-0.399164 0.0368762 2.5 
-0.399493 0.0362876 2.5 
-0.405248 0.0259197 2.5 
-0.409532 0.0181197 2.5 
-0.410966 0.0155518 2.5 
-0.416707 0.00518395 2.5 
-0.4199 -0.000635825 2.5 
-0.422436 -0.00518395 2.5 
-0.428165 -0.0155518 2.5 
-0.430268 -0.0193901 2.5 
-0.433903 -0.0259197 2.5 
-0.43962 -0.0362876 2.5 
-0.440635 -0.0381432 2.5 
-0.445368 -0.0466555 2.5 
-0.451003 -0.0568956 2.5 
-0.451075 -0.0570234 2.5 
-0.456831 -0.0673913 2.5 
-0.461371 -0.0756524 2.5 
-0.462547 -0.0777592 2.5 
-0.468291 -0.0881271 2.5 
-0.471739 -0.0944079 2.5 
-0.474017 -0.098495 2.5 
-0.47975 -0.108863 2.5 
-0.482107 -0.113162 2.5 
-0.485485 -0.119231 2.5 
-0.491206 -0.129599 2.5 
-0.492475 -0.131916 2.5 

# Contour 4, label: 
0.233278 1.18088 2.5 
0.230889 1.17676 2.5 
0.22516 1.16639 2.5 
0.22291 1.16213 2.5 
0.219408 1.15602 2.5 
0.213738 1.14565 2.5 
0.212542 1.14338 2.5 
0.20794 1.13528 2.5 
0.202321 1.12492 2.5 
0.202174 1.12464 2.5 
0.196483 1.11455 2.5 
0.191806 1.10587 2.5 
0.190828 1.10418 2.5 
0.185035 1.09381 2.5 
0.181438 1.08711 2.5 
0.179335 1.08344 2.5 
0.173594 1.07308 2.5 
0.17107 1.06836 2.5 
0.167855 1.06271 2.5 
0.162159 1.05234 2.5 
0.160702 1.04961 2.5 
0.156384 1.04197 2.5 
0.15073 1.03161 2.5 
0.150334 1.03086 2.5 
0.144923 1.02124 2.5 
0.139967 1.01211 2.5 
0.139259 1.01087 2.5 
0.133469 1.0005 2.5 
0.129599 0.993345 2.5 
0.12777 0.990134 2.5 
0.122021 0.979766 2.5 
0.119231 0.97459 2.5 
0.11629 0.969398 2.5 
0.110579 0.95903 2.5 
0.108863 0.955837 2.5 
0.104819 0.948662 2.5 
0.0991415 0.938294 2.5 
0.098495 0.937088 2.5 
0.0933543 0.927926 2.5 
0.0881271 0.918335 2.5 
0.0876847 0.917559 2.5 
0.0818964 0.907191 2.5 
0.0777592 0.899576 2.5 
0.076198 0.896823 2.5 
0.0704443 0.886455 2.5 
0.0673913 0.880819 2.5 
0.0647192 0.876087 2.5 
0.0589972 0.865719 2.5 
0.0570234 0.862066 2.5 
0.0532471 0.855351 2.5 
0.0475546 0.844983 2.5 
0.0466555 0.843315 2.5 
0.0417813 0.834615 2.5 
0.0362876 0.824564 2.5 
0.0361078 0.824247 2.5 
0.030321 0.81388 2.5 
0.0259197 0.805805 2.5 
0.024623 0.803512 2.5 
0.0188658 0.793144 2.5 
0.0155518 0.787048 2.5 
0.0131448 0.782776 2.5 
0.00741515 0.772408 2.5 
0.00518395 0.768294 2.5 
0.00167249 0.76204 2.5 
-0.00403141 0.751672 2.5 
-0.00518395 0.749542 2.5 
-0.00979442 0.741304 2.5 
-0.0154741 0.730936 2.5 
-0.0155518 0.730793 2.5 
-0.0212564 0.720569 2.5 
-0.0259197 0.712034 2.5 
