
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-1.33116 -0.191806 2 
-1.33227 -0.194091 2 
-1.33631 -0.202174 2 
-1.34141 -0.212542 2 
-1.34264 -0.215056 2 
-1.34657 -0.22291 2 
-1.35167 -0.233278 2 
-1.35301 -0.236021 2 
-1.35682 -0.243645 2 
-1.36193 -0.254013 2 
-1.36338 -0.256987 2 
-1.36707 -0.264381 2 
-1.37218 -0.274749 2 
-1.37375 -0.277952 2 
-1.37733 -0.285117 2 
-1.38244 -0.295485 2 
-1.38411 -0.298917 2 
-1.38758 -0.305853 2 
-1.39269 -0.316221 2 
-1.39448 -0.319883 2 
-1.39783 -0.326589 2 
-1.40295 -0.336957 2 
-1.40485 -0.340848 2 
-1.40808 -0.347324 2 
-1.4132 -0.357692 2 
-1.41522 -0.361814 2 
-1.41834 -0.36806 2 
-1.42346 -0.378428 2 
-1.42559 -0.38278 2 
-1.42859 -0.388796 2 
-1.43371 -0.399164 2 
-1.43595 -0.403745 2 
-1.43884 -0.409532 2 
-1.44397 -0.4199 2 
-1.44632 -0.424711 2 
-1.4491 -0.430268 2 
-1.45422 -0.440635 2 
-1.45669 -0.445677 2 
-1.45935 -0.451003 2 
-1.46448 -0.461371 2 
-1.46706 -0.466643 2 
-1.4696 -0.471739 2 
-1.47473 -0.482107 2 
-1.47742 -0.487609 2 
-1.47986 -0.492475 2 
-1.48499 -0.502843 2 
-1.48779 -0.508575 2 
-1.49011 -0.513211 2 
-1.49524 -0.523579 2 
-1.49816 -0.529541 2 

# Contour 5, label: 
-0.834615 0.812268 2 
-0.839015 0.803512 2 
-0.844091 0.793144 2 
-0.844983 0.791303 2 
-0.849267 0.782776 2 
-0.854348 0.772408 2 
-0.855351 0.770339 2 
-0.85952 0.76204 2 
-0.864604 0.751672 2 
-0.865719 0.749374 2 
-0.869772 0.741304 2 
-0.874861 0.730936 2 
-0.876087 0.728409 2 
-0.880025 0.720569 2 
-0.885117 0.710201 2 
-0.886455 0.707444 2 
-0.890278 0.699833 2 
-0.895373 0.689465 2 
-0.896823 0.686479 2 
-0.90053 0.679097 2 
-0.905629 0.668729 2 
-0.907191 0.665513 2 
-0.910782 0.658361 2 
-0.915885 0.647993 2 
-0.917559 0.644548 2 
-0.921035 0.637625 2 
-0.926141 0.627258 2 
-0.927926 0.623583 2 
-0.931287 0.61689 2 
-0.936396 0.606522 2 
-0.938294 0.602617 2 
-0.94154 0.596154 2 
-0.946652 0.585786 2 
-0.948662 0.581652 2 
-0.951792 0.575418 2 
-0.956907 0.56505 2 
-0.95903 0.560686 2 
-0.962044 0.554682 2 
-0.967163 0.544314 2 
-0.969398 0.53972 2 
-0.972297 0.533947 2 
-0.977418 0.523579 2 
-0.979766 0.518754 2 
-0.982549 0.513211 2 
-0.987673 0.502843 2 
-0.990134 0.497788 2 
-0.992801 0.492475 2 
-0.997928 0.482107 2 
-1.0005 0.476823 2 
-1.00305 0.471739 2 
-1.00818 0.461371 2 
-1.01087 0.455857 2 
-1.01331 0.451003 2 
-1.01844 0.440635 2 
-1.02124 0.43489 2 
-1.02356 0.430268 2 
-1.02869 0.4199 2 
-1.03161 0.413924 2 
-1.03381 0.409532 2 
-1.03895 0.399164 2 
-1.04197 0.392958 2 
-1.04406 0.388796 2 
-1.0492 0.378428 2 
-1.05234 0.371992 2 
-1.05431 0.36806 2 
-1.05946 0.357692 2 
-1.06271 0.351025 2 
-1.06457 0.347324 2 
-1.06971 0.336957 2 
-1.07308 0.330059 2 
-1.07482 0.326589 2 
-1.07997 0.316221 2 
-1.08344 0.309093 2 
-1.08507 0.305853 2 
-1.09022 0.295485 2 
-1.09381 0.288126 2 
-1.09532 0.285117 2 
-1.10048 0.274749 2 
-1.10418 0.267159 2 
-1.10557 0.264381 2 
-1.11073 0.254013 2 
-1.11455 0.246193 2 
-1.11583 0.243645 2 
-1.12098 0.233278 2 
-1.12492 0.225226 2 
-1.12608 0.22291 2 
-1.13124 0.212542 2 
-1.13528 0.20426 2 
-1.13633 0.202174 2 
-1.14149 0.191806 2 
-1.14565 0.183293 2 
-1.14658 0.181438 2 
-1.15175 0.17107 2 
-1.15602 0.162326 2 
-1.15683 0.160702 2 
-1.162 0.150334 2 
-1.16639 0.141359 2 
-1.16709 0.139967 2 
-1.17225 0.129599 2 

# Contour 6, label: 
-0.495531 1.49816 2 
-0.500641 1.48779 2 
-0.502843 1.4832 2 
-0.505781 1.47742 2 
-0.510896 1.46706 2 
-0.513211 1.46223 2 
-0.51603 1.45669 2 
-0.521152 1.44632 2 
-0.523579 1.44126 2 
-0.52628 1.43595 2 
-0.531407 1.42559 2 
-0.533947 1.4203 2 
-0.53653 1.41522 2 
-0.541662 1.40485 2 
-0.544314 1.39933 2 
-0.54678 1.39448 2 
-0.551916 1.38411 2 
-0.554682 1.37836 2 
-0.557029 1.37375 2 
-0.562171 1.36338 2 
-0.56505 1.3574 2 
-0.567279 1.35301 2 
-0.572426 1.34264 2 
-0.575418 1.33643 2 
-0.577529 1.33227 2 
-0.58268 1.32191 2 
-0.585786 1.31546 2 
-0.587779 1.31154 2 
-0.592934 1.30117 2 
-0.596154 1.2945 2 
-0.598029 1.2908 2 
-0.603189 1.28043 2 
-0.606522 1.27353 2 
-0.608279 1.27007 2 
-0.613443 1.2597 2 
-0.61689 1.25256 2 
-0.618529 1.24933 2 
-0.623697 1.23896 2 
-0.627258 1.2316 2 
-0.628779 1.2286 2 
-0.633951 1.21823 2 
-0.637625 1.21063 2 
-0.639029 1.20786 2 
-0.644204 1.19749 2 
-0.647993 1.18966 2 
-0.64928 1.18712 2 
-0.654458 1.17676 2 
-0.658361 1.16869 2 
-0.65953 1.16639 2 
-0.664712 1.15602 2 
-0.668729 1.14773 2 
-0.66978 1.14565 2 
-0.674965 1.13528 2 
-0.679097 1.12676 2 
-0.68003 1.12492 2 
-0.685219 1.11455 2 
-0.689465 1.10579 2 
