
# Surface 0 of 1 surfaces

# Curve title: "'mu.dat' u 1:2:3 binary matrix"

# Contour 0, label:       27
-0.188733 1.44983 $27$ 
-0.185619 1.44577 $27$ 
-0.18098 1.4398 $27$ 
-0.175585 1.43279 $27$ 
-0.173233 1.42977 $27$ 
-0.165552 1.41981 $27$ 
-0.165492 1.41973 $27$ 
-0.157732 1.4097 $27$ 
-0.155518 1.40681 $27$ 
-0.149977 1.39967 $27$ 
-0.145485 1.39382 $27$ 
-0.142228 1.38963 $27$ 
-0.135452 1.38084 $27$ 
-0.134484 1.3796 $27$ 
-0.126732 1.36957 $27$ 
-0.125418 1.36785 $27$ 
-0.118975 1.35953 $27$ 
-0.115385 1.35486 $27$ 
-0.111224 1.3495 $27$ 
-0.105351 1.34187 $27$ 
-0.103478 1.33946 $27$ 
-0.0957326 1.32943 $27$ 
-0.0953177 1.32889 $27$ 
-0.087974 1.3194 $27$ 
-0.0852843 1.31589 $27$ 
-0.0802207 1.30936 $27$ 
-0.0752508 1.3029 $27$ 
-0.0724724 1.29933 $27$ 
-0.0652174 1.28992 $27$ 
-0.0647289 1.2893 $27$ 
-0.0569733 1.27926 $27$ 
-0.0551839 1.27693 $27$ 
-0.0492181 1.26923 $27$ 
-0.0451505 1.26394 $27$ 
-0.0414678 1.2592 $27$ 
-0.0351171 1.25096 $27$ 
-0.0337222 1.24916 $27$ 
-0.0259732 1.23913 $27$ 
-0.0250836 1.23797 $27$ 
-0.0182162 1.2291 $27$ 
-0.0150502 1.22498 $27$ 
-0.010464 1.21906 $27$ 
-0.00501672 1.21199 $27$ 
-0.00271644 1.20903 $27$ 
0.00501672 1.19901 $27$ 
0.0127851 1.18896 $27$ 
0.0150502 1.18601 $27$ 
0.020539 1.17893 $27$ 
0.0250836 1.17302 $27$ 
0.0282885 1.1689 $27$ 
0.0351171 1.16004 $27$ 
0.0360335 1.15886 $27$ 
0.0437858 1.14883 $27$ 
0.0451505 1.14705 $27$ 
0.0515414 1.1388 $27$ 
0.0551839 1.13406 $27$ 
0.0592926 1.12876 $27$ 
0.0652174 1.12107 $27$ 
0.0670395 1.11873 $27$ 
0.074786 1.1087 $27$ 
0.0752508 1.10809 $27$ 
0.0825431 1.09866 $27$ 
0.0852843 1.09509 $27$ 
0.090296 1.08863 $27$ 
0.0953177 1.08211 $27$ 
0.0980447 1.0786 $27$ 
0.105351 1.06912 $27$ 
0.105789 1.06856 $27$ 
0.113544 1.05853 $27$ 
0.115385 1.05613 $27$ 
0.121299 1.04849 $27$ 
0.125418 1.04314 $27$ 
0.129049 1.03846 $27$ 
0.135452 1.03016 $27$ 
0.136795 1.02843 $27$ 
0.144545 1.01839 $27$ 
0.145485 1.01717 $27$ 
0.152301 1.00836 $27$ 
0.155518 1.00418 $27$ 
0.160053 0.998328 $27$ 
0.165552 0.99119 $27$ 
0.167801 0.988294 $27$ 
0.175545 0.978261 $27$ 
0.175585 0.978209 $27$ 
0.183303 0.968227 $27$ 
0.185619 0.965213 $27$ 
0.191056 0.958194 $27$ 
0.195652 0.952224 $27$ 
0.198806 0.948161 $27$ 
0.205686 0.939241 $27$ 

# Contour 5, label: 
-0.618736 -1.17893 $27$ 
-0.617696 -1.18896 $27$ 
-0.617057 -1.19514 $27$ 
-0.616657 -1.199 $27$ 
-0.615617 -1.20903 $27$ 
-0.614577 -1.21906 $27$ 
-0.613537 -1.2291 $27$ 
-0.612498 -1.23913 $27$ 
-0.611458 -1.24916 $27$ 
-0.610418 -1.2592 $27$ 
-0.609378 -1.26923 $27$ 
-0.608338 -1.27926 $27$ 
-0.607298 -1.2893 $27$ 
-0.607023 -1.29196 $27$ 
-0.606259 -1.29933 $27$ 
-0.605219 -1.30936 $27$ 
-0.604179 -1.3194 $27$ 
-0.603139 -1.32943 $27$ 
-0.6021 -1.33946 $27$ 
-0.60106 -1.3495 $27$ 
-0.60002 -1.35953 $27$ 
-0.59898 -1.36957 $27$ 
-0.59794 -1.3796 $27$ 
-0.59699 -1.38877 $27$ 
-0.5969 -1.38963 $27$ 
-0.59586 -1.39967 $27$ 
-0.594821 -1.4097 $27$ 
-0.593781 -1.41973 $27$ 
-0.592741 -1.42977 $27$ 
-0.591701 -1.4398 $27$ 
-0.590662 -1.44983 $27$ 
-0.589622 -1.45987 $27$ 
-0.588582 -1.4699 $27$ 
-0.587542 -1.47993 $27$ 
-0.586957 -1.48559 $27$ 
-0.586502 -1.48997 $27$ 
-0.585462 -1.5 $27$ 

# Contour 6, label: 
-0.71128 -0.285953 $27$ 
-0.71024 -0.295987 $27$ 
-0.7092 -0.30602 $27$ 
-0.70816 -0.316054 $27$ 
-0.707358 -0.323799 $27$ 
-0.70712 -0.326087 $27$ 
-0.70608 -0.33612 $27$ 
-0.705041 -0.346154 $27$ 
-0.704001 -0.356187 $27$ 
-0.702961 -0.366221 $27$ 
-0.701921 -0.376254 $27$ 
-0.700882 -0.386288 $27$ 
-0.699842 -0.396321 $27$ 
-0.698802 -0.406355 $27$ 
-0.697762 -0.416388 $27$ 
-0.697324 -0.420617 $27$ 
-0.696722 -0.426421 $27$ 
-0.695682 -0.436455 $27$ 
-0.694643 -0.446488 $27$ 
-0.693603 -0.456522 $27$ 
-0.692563 -0.466555 $27$ 
-0.691523 -0.476589 $27$ 
-0.690483 -0.486622 $27$ 
-0.689444 -0.496656 $27$ 
-0.688404 -0.506689 $27$ 
-0.687364 -0.516722 $27$ 
-0.687291 -0.517427 $27$ 
-0.686324 -0.526756 $27$ 
-0.685284 -0.536789 $27$ 
-0.684245 -0.546823 $27$ 
-0.683205 -0.556856 $27$ 
-0.682165 -0.56689 $27$ 
-0.681125 -0.576923 $27$ 
-0.680085 -0.586957 $27$ 
-0.679045 -0.59699 $27$ 
-0.678006 -0.607023 $27$ 
-0.677258 -0.614247 $27$ 
-0.676966 -0.617057 $27$ 
-0.675926 -0.62709 $27$ 
-0.674886 -0.637124 $27$ 
-0.673846 -0.647157 $27$ 
-0.672807 -0.657191 $27$ 
-0.671767 -0.667224 $27$ 
-0.670727 -0.677258 $27$ 
-0.669687 -0.687291 $27$ 
-0.668647 -0.697324 $27$ 
-0.667607 -0.707358 $27$ 
-0.667224 -0.711063 $27$ 
-0.666568 -0.717391 $27$ 
-0.665528 -0.727425 $27$ 
-0.664488 -0.737458 $27$ 
-0.663448 -0.747492 $27$ 
-0.662409 -0.757525 $27$ 
-0.661369 -0.767559 $27$ 
-0.660329 -0.777592 $27$ 
-0.659289 -0.787625 $27$ 
-0.658249 -0.797659 $27$ 
-0.657209 -0.807692 $27$ 
-0.657191 -0.807872 $27$ 
-0.656169 -0.817726 $27$ 
-0.65513 -0.827759 $27$ 
-0.65409 -0.837793 $27$ 
-0.65305 -0.847826 $27$ 
-0.65201 -0.85786 $27$ 
-0.650971 -0.867893 $27$ 
-0.649931 -0.877926 $27$ 
-0.648891 -0.88796 $27$ 
-0.647851 -0.897993 $27$ 
-0.647157 -0.904694 $27$ 
-0.646811 -0.908027 $27$ 
-0.645771 -0.91806 $27$ 
-0.644732 -0.928094 $27$ 
-0.643692 -0.938127 $27$ 
-0.642652 -0.948161 $27$ 
-0.641612 -0.958194 $27$ 
-0.640573 -0.968227 $27$ 
-0.639533 -0.978261 $27$ 
-0.638493 -0.988294 $27$ 
-0.637453 -0.998328 $27$ 
-0.637124 -1.00151 $27$ 
-0.636413 -1.00836 $27$ 
-0.635373 -1.01839 $27$ 
-0.634334 -1.02843 $27$ 
-0.633294 -1.03846 $27$ 
-0.632254 -1.04849 $27$ 
-0.631214 -1.05853 $27$ 
-0.630174 -1.06856 $27$ 
-0.629134 -1.0786 $27$ 
-0.628095 -1.08863 $27$ 
-0.62709 -1.09832 $27$ 
-0.627055 -1.09866 $27$ 
-0.626015 -1.1087 $27$ 
-0.624975 -1.11873 $27$ 
-0.623936 -1.12876 $27$ 
-0.622896 -1.1388 $27$ 
-0.621856 -1.14883 $27$ 
-0.620816 -1.15886 $27$ 
-0.619776 -1.1689 $27$ 
-0.618736 -1.17893 $27$ 

# Contour 7, label: 
-0.803823 0.607023 $27$ 
-0.802783 0.59699 $27$ 
-0.801743 0.586957 $27$ 
-0.800703 0.576923 $27$ 
-0.799664 0.56689 $27$ 
-0.798624 0.556856 $27$ 
-0.797659 0.547545 $27$ 
-0.797584 0.546823 $27$ 
-0.796544 0.536789 $27$ 
-0.795504 0.526756 $27$ 
-0.794465 0.516722 $27$ 
-0.793425 0.506689 $27$ 
-0.792385 0.496656 $27$ 
-0.791345 0.486622 $27$ 
-0.790305 0.476589 $27$ 
-0.789265 0.466555 $27$ 
-0.788225 0.456522 $27$ 
-0.787625 0.450721 $27$ 
-0.787186 0.446488 $27$ 
-0.786146 0.436455 $27$ 
-0.785106 0.426421 $27$ 
-0.784066 0.416388 $27$ 
-0.783027 0.406355 $27$ 
-0.781987 0.396321 $27$ 
-0.780947 0.386288 $27$ 
-0.779907 0.376254 $27$ 
-0.778867 0.366221 $27$ 
-0.777827 0.356187 $27$ 
-0.777592 0.353909 $27$ 
-0.776787 0.346154 $27$ 
-0.775748 0.33612 $27$ 
-0.774708 0.326087 $27$ 
-0.773668 0.316054 $27$ 
-0.772629 0.30602 $27$ 
-0.771589 0.295987 $27$ 
-0.770549 0.285953 $27$ 
-0.769509 0.27592 $27$ 
-0.768469 0.265886 $27$ 
-0.767559 0.257097 $27$ 
-0.767429 0.255853 $27$ 
-0.766389 0.245819 $27$ 
-0.76535 0.235786 $27$ 
-0.76431 0.225753 $27$ 
-0.76327 0.215719 $27$ 
-0.76223 0.205686 $27$ 
-0.761191 0.195652 $27$ 
-0.760151 0.185619 $27$ 
-0.759111 0.175585 $27$ 
-0.758071 0.165552 $27$ 
-0.757525 0.160275 $27$ 
-0.757031 0.155518 $27$ 
-0.755991 0.145485 $27$ 
-0.754952 0.135452 $27$ 
-0.753912 0.125418 $27$ 
-0.752872 0.115385 $27$ 
-0.751832 0.105351 $27$ 
-0.750793 0.0953177 $27$ 
-0.749753 0.0852843 $27$ 
-0.748713 0.0752508 $27$ 
-0.747673 0.0652174 $27$ 
-0.747492 0.0634643 $27$ 
-0.746633 0.0551839 $27$ 
-0.745593 0.0451505 $27$ 
-0.744554 0.0351171 $27$ 
