# subject, condition, condition-id, source marked, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
2,17,18,1,-0.06367248743772506,-0.06477890014648438,-0.01357816457748413,-0.034320779560508316,0.12787886240264554,-0.7164366022837441,0.00010176655673502221,7.4397336919221e-05,7.903216283335551e-06,0.00012750163465570264,0.00039395018008901435,0.000160678718656117
2,18,3,1,-0.06280807554721832,0.029370759427547456,-0.009806203842163085,-0.05542441661345613,0.1378914036817656,0.5681697968768524,4.980146961962743e-05,1.3601577265423253e-05,9.58211358464868e-06,0.00023017559497463984,7.166194654112055e-05,0.00015883471608098577
2,19,9,1,-0.04390336126089096,-0.0004440605640411377,-0.011530900001525879,-0.04045693286296176,0.1138352389816156,0.070522525743462,7.315973081487999e-05,6.525717266994345e-05,0.00012811594666237662,9.143839130462718e-05,0.0032192883951260138,0.0003776464534891154
2,20,16,1,-0.04532972276210785,-0.07290770411491394,-0.013269972801208497,-0.030352581394128535,0.09561082459264718,-0.5446038833833606,6.853642152973467e-05,0.00010696113973012442,4.4874658289094355e-06,0.00014915572191849858,0.00028240813435172023,0.0003232230975521974
2,21,13,1,-0.03931642323732376,-0.05455299317836761,-0.012131130695343018,-0.037024490210458214,0.1050913780455468,-0.33370403277747457,3.910544880983175e-05,8.713551529572642e-05,6.2973766980219526e-06,0.00014397811596839977,0.00012154582106930635,0.0001717918969508176
2,22,1,1,-0.08130339682102203,0.04356779307126999,-0.009502172470092773,-0.05890405499058653,0.13459519502140438,0.6814306006514379,5.399671266646541e-05,9.601354784056339e-05,2.822693733505693e-05,0.00016400958946447144,0.0006951457994489387,0.00013366378069914813
2,23,16,1,-0.0535161092877388,-0.06251320242881775,-0.012991642951965332,-0.08625300754488413,0.10307520292653312,-0.7069138280981656,0.00011035211101989762,1.5892732161102257e-05,7.264162214801507e-05,0.00028651418369110603,0.0003435900903364975,0.00036542172529211456
2,24,8,1,-0.04290836304426193,-0.006617876887321472,-0.011245167255401612,-0.06726550617823754,0.10124767134153925,0.19151429029174702,0.0002317620601278814,0.00019837218036617853,0.00011613355344182055,0.0005755803748162251,0.0033105256254610744,0.00045145308107440174
2,25,9,1,-0.046608622372150424,-0.003474244475364685,-0.011063468456268311,-0.07297839031565705,0.1158495457158194,0.06680938603395074,0.00010802449692068984,7.804674162439718e-05,4.242728786901094e-06,9.456478241793315e-05,0.00017118471351594707,0.0003591535920170985
2,26,10,1,-0.03786583840847015,-0.022924020886421204,-0.011482763290405273,-0.08307859942982329,0.09030315456979485,-0.03478393276140307,7.243272341679524e-05,6.388395720158854e-05,9.149217838078537e-06,0.00019466306321989094,0.00022277345502141343,0.00043379988132454656
2,27,16,1,-0.049648909270763396,-0.07602437436580659,-0.013531410694122314,-0.05833981939782357,0.10346305152595747,-0.6204793549390737,6.477970940040896e-05,2.477617124738921e-05,2.277097456069917e-05,0.00023780764743191936,0.0005422143586405542,5.56266842712686e-05
2,28,18,1,-0.050075259804725644,-0.07519403696060181,-0.01393972635269165,-0.0493892595951458,0.10196367849430096,-0.7173717359544363,6.056104325905413e-05,1.1087415638959071e-05,1.9714275680482393e-06,8.137750005785696e-05,0.00010426874973448471,7.501377957793492e-05
2,29,16,1,-0.04019888490438461,-0.0607353538274765,-0.013797342777252197,-0.05293206974638265,0.09127309242122679,-0.574570909205288,6.129778705958644e-05,2.9110950612288447e-06,1.3611827001528467e-05,0.0002804186074156186,0.0001641797457517249,0.00010269156615707688
2,30,6,1,-0.05981467068195343,0.018235231935977935,-0.010489976406097412,-0.06593169408665542,0.13137608884428326,0.33538787582228935,3.858363868822168e-05,9.107911096657355e-05,1.1063630421903476e-05,0.00013570210321007031,0.0002548834722938353,0.0002689103998496445
2,31,18,1,-0.044675037264823914,-0.06871391534805298,-0.014850091934204102,-0.035313175504855375,0.11000386392464712,-0.6907311515496662,8.009546993297795e-05,0.00016915467617674041,8.591045540739599e-06,0.00032262780704231863,0.00010406919684367158,0.00018073833013790392
2,32,13,1,-0.04194930791854858,-0.03934226930141449,-0.013641631603240967,-0.0573148723821391,0.12582200604564037,-0.31061268275476783,0.00010725692265242036,0.00017532501207042064,2.1700416516213205e-05,0.00046546899993935297,0.00038827505710809705,0.00010882927067995515
2,33,12,1,-0.04252081960439682,-0.04416966736316681,-0.0136030912399292,-0.06476453558498194,0.12289637128032024,-0.23177988406018873,6.241034237368772e-05,0.00012567631043411496,1.5460208594869236e-05,0.00023999034529547945,0.00040048857804703705,0.00046073590262897616
2,34,3,1,-0.058332429826259614,0.032734434306621554,-0.010673284530639648,-0.05686836539393649,0.14059633071498961,0.60526837177333,0.0001403424295058651,2.455545533997836e-05,2.0543534396568964e-05,0.00012234675934703941,0.00029106816529970476,0.00030284400369218716
2,35,13,1,-0.02279071807861328,-0.05112242102622986,-0.016832923889160155,-0.04614629967323154,0.13487244278693594,-0.3145275348418533,1.1692717773702927e-05,9.921448690824565e-05,9.456054758978792e-06,0.00021126661671440794,0.0002447232177052653,0.0001330382744639844
2,36,10,1,0.000990307331085205,-0.01738496720790863,-0.01685912609100342,-0.03224196887351097,0.11272095945539003,-0.05647782988043713,4.164095579277283e-05,3.759686476129883e-05,5.563634835390981e-05,0.00043097048365527965,0.0006340516275669138,8.836149122481754e-05
2,37,10,1,-0.002578398585319519,-0.022780287265777587,-0.017156052589416503,-0.04495973358583199,0.12054289052552476,-0.04486209828633825,6.170948502826751e-05,0.00010721453239175099,2.6367628943205014e-06,0.00016220412885917257,6.734581401957931e-05,0.0001908543418541181
2,38,13,1,-0.00414842963218689,-0.05148568451404571,-0.018875634670257567,-0.036276077483125856,0.136845564347306,-0.3121988440010089,0.00011988150179533391,0.00016702059805518267,1.4329239252193914e-05,0.00029905850831584574,0.0004154223370846642,0.00023643273191914092
2,39,1,1,-0.03654868006706238,0.04529808163642883,-0.015454065799713135,-0.042081017964888244,0.16721407364167037,0.719765395263049,7.92698894861134e-05,0.00031004883127267867,2.7811555355530366e-06,0.0003839133056334321,0.0004258208145514564,0.000622886607180719
2,40,9,1,-0.005076128244400025,-0.03404158651828766,-0.02055354118347168,-0.03059385707233821,0.14945525149222133,0.04632788598011109,0.00014853614721154016,0.00018114604211860058,0.00011353746072505391,0.00018688150047728002,0.0034290245978814177,0.0005499709177810281
2,41,6,1,-0.005737075209617614,-0.0019607841968536377,-0.019048690795898438,-0.03226111789350046,0.1564126295337213,0.34923130854214846,0.00010044057379287814,4.281629657607947e-05,1.0893407236205888e-05,0.00028868215851902794,5.845796776375085e-05,0.00014787222290196277
2,42,19,1,-0.03250003755092621,-0.13698740005493165,-0.024555718898773192,-0.0020849683047053577,0.11563466308167558,-0.7915182316813791,0.00015645764892088923,2.011841394640475e-05,1.0771144786115186e-05,0.00019652614170758903,0.000597389146743314,0.00017714943578030242
2,43,9,1,0.015662723779678346,-0.016234976053237916,-0.02100951671600342,-0.021238504168171673,0.13866272594559875,0.07929999805301877,0.00012644268362422965,7.212211918067123e-05,7.086929600938303e-06,0.0001480790842470935,0.0005355245001640354,0.00031295929661869794
2,44,1,1,0.022678738832473753,0.0776358500123024,-0.024800693988800047,-0.02612950631367477,0.14414421156314355,0.6284404291997858,3.063649112932939e-05,2.7886325482167545e-05,1.7720295489566104e-05,0.00018907927807615594,0.00010671974456746341,0.00016281844457815037
2,45,12,1,0.05685526728630066,-0.07523947954177856,-0.03099358081817627,-0.011653753965666081,0.12446578250874687,-0.20560528179387755,2.880274676537463e-05,2.868339067874592e-05,3.8294172893538024e-05,0.0007987713326914954,0.0006359609693732957,0.0003148119432727465
2,46,3,1,0.05465264618396759,0.07384665608406067,-0.029620254039764406,-0.04562620719204104,0.14294373530404025,0.5757695112126697,1.8848998248322552e-05,8.888329681633365e-05,2.1143712503322212e-05,0.0002549230152414074,0.00022306673217840063,0.0001803582504708575
2,47,12,1,0.08816727697849273,-0.07522998452186584,-0.03539073467254639,-0.047644412745807906,0.12575138097435026,-0.1960440535314359,2.8361266851825398e-05,0.00010593125820095251,2.0726927093139706e-05,0.00037978954768190217,0.00018715895950678038,0.0001475807410116771
2,48,12,1,0.08979803919792176,-0.07670489251613617,-0.035320067405700685,-0.04898383356788544,0.1189891969008299,-0.1956019630346046,3.642873025481751e-05,0.00012043917415893942,8.771697859354318e-06,0.00020098474617627875,0.00028018496674062207,3.758867210483186e-05
2,49,16,1,0.08223801851272583,-0.08404442965984345,-0.035213911533355714,-0.11203075879567018,0.1034820024858459,-0.5500947505916907,8.499883268030995e-05,4.702264494436395e-05,2.8534085056128703e-05,0.00028297269267869174,0.00046070854420508187,7.471863954298919e-05
2,50,6,1,0.09160347580909729,-0.019916358590126037,-0.03368668556213379,-0.05004435149944977,0.1578414148186872,0.3636481796979366,6.751363834165601e-05,2.8987550247429974e-06,1.3381867988864338e-05,0.00013786837476943383,0.0002111427302534669,3.728862881895908e-05
2,51,19,1,0.05012777149677276,-0.1923009216785431,-0.04322185516357422,-0.015704061451382693,0.12652345078997257,-0.7629184653411848,0.00015621602439275245,2.9632630037610997e-05,4.533426935383286e-05,0.0008415480041846141,0.0008759623164758404,6.444969576232886e-05
2,52,13,1,0.09631847739219665,-0.12062673568725586,-0.04119375944137573,-0.0551529489903426,0.13358339965147534,-0.30565036031946213,3.540094126518973e-05,0.00010065749205974397,4.9128258423076866e-06,0.00010059093869647031,0.0001981412630977547,0.00011104637436175989
2,53,19,1,0.08502342998981476,-0.12146719694137573,-0.041108548641204834,-0.13257528085403353,0.12172240021323737,-0.6887753718007125,6.369473692111277e-05,2.25587312623324e-05,1.9378550790341233e-05,0.0004335663772118664,0.0005625974043199608,0.0001475722219827166
2,54,10,1,0.11685926020145417,-0.03692023456096649,-0.038785266876220706,-0.07688177813880122,0.1133732080078969,-0.02488391694766269,3.885871194894759e-05,4.732581441884903e-05,1.2209871453438269e-05,9.70984225199818e-05,0.00028048977291545097,0.00015024514067443285
